115
802,818,2,3
804,825,3,10
800,849,3,7
810,831,2,4
800,845,8,5
804,847,3,7
835,856,6,7
800,828,1,6
812,859,1,7
809,838,2,4
809,850,2,9
833,855,8,4
821,833,2,7
802,844,2,6
802,831,4,5
826,848,9,1
809,859,5,7
820,856,3,7
809,836,9,3
805,845,2,9
806,824,10,8
816,851,5,1
835,853,3,9
831,856,10,1
820,846,9,2
810,847,5,10
847,857,7,2
804,842,3,8
831,859,6,9
815,846,5,7
811,856,8,2
831,857,8,2
820,839,2,1
824,846,7,4
818,828,9,10
819,836,4,6
813,827,7,8
805,833,2,7
826,846,1,7
800,815,6,5
827,857,3,1
801,812,1,2
801,825,1,10
804,831,6,9
813,842,10,2
807,841,7,1
809,825,8,3
809,823,6,10
802,828,6,5
812,838,6,10
816,858,6,2
823,859,7,1
808,834,2,9
818,857,6,4
808,820,8,5
817,840,8,5
813,840,2,5
902,918,10,5
910,935,3,8
926,948,6,9
933,951,10,2
906,947,3,6
922,941,3,5
903,943,10,9
923,943,9,10
905,956,7,4
920,940,3,10
900,923,10,3
915,938,8,6
915,939,8,9
904,937,6,8
908,941,9,4
900,938,1,9
913,945,5,7
924,942,7,1
917,951,4,9
903,928,8,7
909,959,4,9
929,959,9,6
947,959,7,8
903,925,9,3
914,932,3,8
903,931,3,10
920,947,4,2
903,951,2,6
936,956,7,3
902,932,6,4
934,959,6,2
913,956,10,5
927,957,3,9
913,949,9,4
918,952,3,6
902,947,5,7
905,935,9,1
920,940,9,6
908,929,3,4
923,934,4,1
902,948,6,7
943,957,6,2
919,957,1,10
915,940,2,1
930,952,2,5
915,943,6,1
914,931,4,2
914,949,1,7
917,955,4,7
925,956,8,3
907,934,2,3
910,938,7,4
903,925,3,8
905,943,8,1
940,957,9,3
905,921,7,6
932,957,2,6
939,957,2,10
